N,Comparisons
0,0
1,0
2,2
3,4
4,7
5,11
6,12
7,18
8,20
9,23
10,28
11,30
12,37
13,40
14,45
15,50
16,59
17,64
18,68
19,72
20,74
21,87
22,87
23,97
24,99
25,105
26,109
27,110
28,128
29,127
30,125
31,133
32,135
33,150
34,158
35,163
36,171
37,178
38,183
39,182
40,196
41,197
42,208
43,222
44,225
45,231
46,237
47,241
48,235
49,255
50,256
51,261
52,265
53,284
54,283
55,285
56,298
57,306
58,307
59,325
60,329
61,326
62,336
63,337
64,344
65,341
66,354
67,371
68,382
69,391
70,383
71,399
72,406
73,416
74,421
75,429
76,425
77,446
78,454
79,468
80,465
81,475
82,475
83,487
84,500
85,510
86,502
87,526
88,526
89,536
90,545
91,544
92,561
93,555
94,571
95,564
96,587
97,593
98,614
99,604
100,607
101,626
102,634
103,644
104,637
105,660
106,655
107,675
108,682
109,696
110,698
111,694
112,707
113,707
114,722
115,702
116,734
117,736
118,733
119,754
120,750
121,775
122,765
123,774
124,791
125,801
126,800
127,802
128,824
129,827
130,832
131,841
132,854
133,849
134,853
135,890
136,875
137,893
138,909
139,916
140,939
141,941
142,935
143,933
144,968
145,959
146,953
147,983
148,996
149,1004
150,1006
151,1023
152,1024
153,1030
154,1051
155,1069
156,1060
157,1069
158,1089
159,1078
160,1099
161,1106
162,1123
163,1122
164,1126
165,1152
166,1158
167,1172
168,1161
169,1169
170,1176
171,1195
172,1200
173,1205
174,1213
175,1217
176,1247
177,1251
178,1243
179,1255
180,1278
181,1274
182,1267
183,1285
184,1290
185,1300
186,1289
187,1308
188,1325
189,1337
190,1347
191,1347
192,1366
193,1381
194,1384
195,1365
196,1375
197,1387
198,1424
199,1422
200,1426
201,1445
202,1441
203,1457
204,1454
205,1488
206,1472
207,1478
208,1494
209,1510
210,1529
211,1517
212,1524
213,1539
214,1555
215,1554
216,1570
217,1570
218,1584
219,1597
220,1599
221,1595
222,1601
223,1614
224,1621
225,1629
226,1641
227,1632
228,1651
229,1660
230,1670
231,1683
232,1702
233,1706
234,1708
235,1687
236,1719
237,1745
238,1743
239,1737
240,1748
241,1762
242,1770
243,1772
244,1814
245,1785
246,1789
247,1821
248,1823
249,1850
250,1836
251,1843
252,1861
253,1860
254,1859
255,1901
256,1889
257,1895
258,1886
259,1918
260,1932
261,1943
262,1950
263,1944
264,1971
265,1966
266,2010
267,1994
268,2019
269,1985
270,2047
271,2038
272,2035
273,2037
274,2055
275,2091
276,2104
277,2084
278,2112
279,2112
280,2114
281,2123
282,2140
283,2165
284,2167
285,2148
286,2162
287,2189
288,2210
289,2205
290,2219
291,2234
292,2266
293,2254
294,2231
295,2257
296,2280
297,2287
298,2288
299,2314
300,2316
301,2318
302,2344
303,2329
304,2364
305,2367
306,2372
307,2365
308,2411
309,2403
310,2395
311,2414
312,2431
313,2431
314,2448
315,2451
316,2474
317,2479
318,2494
319,2493
320,2522
321,2535
322,2534
323,2537
324,2531
325,2558
326,2569
327,2577
328,2580
329,2581
330,2605
331,2606
332,2622
333,2611
334,2647
335,2652
336,2665
337,2698
338,2681
339,2688
340,2690
341,2721
342,2728
343,2732
344,2728
345,2746
346,2744
347,2759
348,2769
349,2797
350,2747
351,2817
352,2811
353,2807
354,2840
355,2835
356,2853
357,2861
358,2861
359,2889
360,2898
361,2894
362,2923
363,2922
364,2928
365,2953
366,2923
367,2920
368,2971
369,2967
370,3014
371,2997
372,3019
373,3013
374,3028
375,3035
376,3027
377,3029
378,3039
379,3096
380,3052
381,3065
382,3103
383,3095
384,3083
385,3114
386,3128
387,3137
388,3137
389,3153
390,3175
391,3180
392,3193
393,3196
394,3199
395,3237
396,3237
397,3219
398,3226
399,3270
400,3245
401,3252
402,3264
403,3295
404,3290
405,3307
406,3298
407,3314
408,3357
409,3346
410,3352
411,3370
412,3381
413,3379
414,3367
415,3403
416,3413
417,3422
418,3417
419,3422
420,3448
421,3445
422,3480
423,3440
424,3487
425,3508
426,3486
427,3510
428,3498
429,3560
430,3534
431,3567
432,3564
433,3606
434,3530
435,3578
436,3612
437,3620
438,3631
439,3635
440,3636
441,3654
442,3632
443,3627
444,3661
445,3682
446,3683
447,3668
448,3684
449,3695
450,3697
451,3746
452,3770
453,3745
454,3786
