N,Comparisons
0,0
1,2
2,2
3,5
4,9
5,14
6,15
7,22
8,24
9,29
10,31
11,45
12,62
13,50
14,72
15,65
16,66
17,76
18,85
19,92
20,121
21,102
22,104
23,131
24,152
25,129
26,134
27,143
28,162
29,181
30,175
31,177
32,201
33,217
34,190
35,234
36,216
37,214
38,211
39,230
40,231
41,335
42,242
43,276
44,350
45,323
46,276
47,331
48,369
49,323
50,335
51,419
52,322
53,376
54,365
55,394
56,395
57,455
58,396
59,402
60,410
61,492
62,467
63,416
64,445
65,456
66,468
67,545
68,519
69,494
70,489
71,493
72,553
73,564
74,563
75,579
76,550
77,687
78,605
79,610
80,612
81,656
82,619
83,697
84,666
85,637
86,653
87,702
88,671
89,700
90,709
91,692
92,752
93,718
94,765
95,798
96,879
97,987
98,791
99,863
100,804
101,902
102,855
103,785
104,903
105,886
106,909
107,903
108,908
109,914
110,900
111,969
112,976
113,1037
114,936
115,1041
116,904
117,1033
118,1015
119,992
120,993
121,1139
122,1086
123,1000
124,1101
125,1053
126,1099
127,1181
128,1086
129,1191
130,1065
131,1113
132,1147
133,1101
134,1209
135,1273
136,1205
137,1261
138,1296
139,1477
140,1307
141,1206
142,1238
143,1256
144,1354
145,1447
146,1303
147,1257
148,1307
149,1616
150,1511
151,1410
152,1415
153,1463
154,1413
155,1483
156,1355
157,1462
158,1523
159,1528
160,1443
161,1488
162,1414
163,1507
164,1418
165,1686
166,1757
167,1538
168,1467
169,1614
170,1470
171,1941
172,1820
173,1520
174,1563
175,1695
176,1516
177,1893
178,1871
179,1571
180,1706
181,1666
182,1668
183,1711
184,1864
185,1748
186,1821
187,1789
188,1811
189,1655
190,1692
191,1846
192,1729
193,1831
194,1736
195,1906
196,1899
197,1812
198,1736
199,2013
200,2033
201,1878
202,2091
203,1905
204,1924
205,1943
206,1821
207,2024
208,2088
209,2024
210,1987
211,2131
212,1921
213,1968
214,1992
215,2046
216,2314
217,2101
218,2192
219,2259
220,2145
221,2142
222,2127
223,2205
224,2299
225,2290
226,2263
227,2192
228,2312
229,2151
230,2409
231,2265
232,2155
233,2689
234,2186
235,2344
236,2140
237,2366
238,2304
239,2396
240,2428
241,2929
242,2340
243,2477
244,2345
245,2412
246,2583
247,2429
248,2537
249,2343
250,2681
251,2297
252,2568
253,2523
254,2486
255,2577
256,2918
257,2390
258,2652
259,2689
260,2900
261,2819
262,2552
263,2821
264,2759
265,3010
266,2775
267,2725
268,2797
269,2583
270,2751
271,2753
272,3041
273,2772
274,2875
275,2839
276,2872
277,2789
278,2852
279,2742
280,2753
281,2729
282,2660
283,2948
284,2737
285,2778
286,2961
287,3010
288,2929
289,3001
290,3301
291,3133
292,3176
293,3235
294,2848
295,2890
296,3185
297,3046
298,3043
299,3006
300,2997
301,3001
302,3109
303,3178
304,3173
305,3276
306,3482
307,3223
308,3316
309,3465
310,3035
311,3457
312,3575
313,3513
314,3234
315,3354
316,3099
317,3585
318,3314
319,3551
320,3470
321,3615
322,3596
323,3310
324,3382
325,3574
326,3570
327,3366
328,3522
329,3542
330,3710
331,3790
332,3661
333,4018
334,3418
335,3681
336,3672
337,3833
338,3463
339,3875
340,3580
341,3658
342,3461
343,4368
344,3462
345,3904
346,3673
347,3838
348,3851
349,3923
350,4033
351,3838
352,3700
353,3556
354,3752
355,3859
356,3788
357,3973
358,4166
359,4246
360,3940
361,4174
362,3946
363,4065
364,3889
365,3882
366,3656
367,3665
368,3982
369,4176
370,3854
371,3868
372,3949
373,3847
374,3713
375,4176
376,3861
377,4363
378,3987
379,4097
380,4494
381,4206
382,4693
383,4681
384,4631
385,4225
386,4075
387,4802
388,4464
389,4340
390,4468
391,4174
392,4125
393,4332
394,4075
395,4098
396,4088
397,4351
398,4988
399,4359
400,4631
401,4682
402,5062
403,4344
404,4303
405,4985
406,4220
407,4666
408,5159
409,4686
410,5243
411,4569
412,5019
413,4575
414,4595
415,4398
416,4299
417,4428
418,4526
419,4986
420,4403
421,4502
422,4957
423,4478
424,4917
425,4441
426,5142
427,5024
428,5020
429,4732
430,5489
431,4871
432,4951
433,4784
434,4866
435,4852
436,4728
437,4715
438,4621
439,5321
440,5501
441,5304
442,5297
443,5086
444,4710
445,4857
446,5400
447,5350
448,5041
449,4676
450,5354
451,5152
452,5024
453,4900
454,4950
455,5043
456,5083
457,5345
458,4951
459,5169
460,5210
461,5386
462,5170
463,4829
464,5279
465,5207
466,5506
467,5602
468,5216
469,5308
470,5657
471,5127
472,5250
473,5204
474,5347
475,5140
476,5221
477,5233
478,5139
479,4909
480,6034
481,5272
482,5294
483,5656
484,5566
485,5948
486,5444
487,5880
488,5404
489,5486
490,5679
491,5904
492,5743
493,5536
494,5880
495,5984
496,6338
497,5779
498,5694
499,5518
500,5866
501,6528
502,5836
503,5436
504,5635
505,5903
506,5295
507,5886
508,5601
509,5685
510,5954
511,5398
512,6179
513,5530
514,5688
515,5674
516,5901
517,6579
518,5981
519,6246
520,5712
521,6024
522,6090
523,5871
524,6005
525,6037
526,5835
527,5932
528,5912
529,6311
530,6050
531,6403
532,6161
533,6054
534,6420
535,6305
536,6000
537,6065
538,6250
539,6391
540,6896
541,6046
542,6310
543,6182
544,6305
545,6298
546,6668
547,6280
548,6034
549,7150
550,6188
551,6146
552,7451
553,6226
554,6090
555,5952
556,6512
557,6345
558,7077
559,6421
560,7408
561,6938
562,6507
563,6060
564,6809
565,6390
566,6373
567,6448
568,7474
569,7018
570,6601
571,7033
572,6716
573,6649
574,6914
575,7142
576,6847
577,6973
578,6994
579,7126
580,6460
581,6242
582,7037
583,8242
584,7045
585,7073
586,7118
587,7492
588,6689
589,7152
590,6776
591,6837
592,6659
593,7728
594,6931
595,6523
596,7142
597,7063
598,7073
599,6829
600,6906
601,7157
602,8096
603,7236
604,6852
605,7691
606,6862
607,6860
608,7297
609,6703
610,6827
611,7488
612,6868
613,8043
614,7413
615,8028
616,7011
617,7233
618,6841
619,6877
620,6876
621,7690
622,7864
623,7186
624,7598
625,7928
626,7013
627,7893
628,7244
629,7043
630,7086
631,7539
632,7179
633,7631
634,7673
635,9019
636,7108
637,7589
638,7660
639,8046
640,7167
641,7495
642,7881
643,8452
644,7415
645,7856
646,7478
647,7669
648,8001
649,7517
650,8204
651,8239
652,7202
653,8464
654,7623
655,8466
656,7509
657,7917
658,7964
659,7518
660,9041
661,7408
662,7990
663,7732
664,8416
665,8508
666,7448
667,8642
668,7945
669,8393
670,7407
671,7629
672,8112
673,7748
674,8194
675,7828
676,8651
677,8845
678,8063
679,8339
680,8633
681,7920
682,9172
683,8010
684,7774
685,8204
686,8245
687,7865
688,7969
689,8022
690,8613
691,8183
692,8521
693,8373
694,8643
695,8283
696,8571
697,7946
698,8779
699,8824
700,8675
701,8967
702,8322
703,7948
704,8659
705,9135
706,8090
707,8425
708,9320
709,8006
710,9532
711,8652
712,8380
713,8348
714,8018
715,8716
716,8733
717,8262
718,8558
719,9100
720,9389
721,8367
722,8436
723,9279
724,8904
725,8779
726,8902
727,9562
728,10368
729,8698
730,9704
731,8661
732,9159
733,9693
734,9278
735,9639
736,8798
737,9077
738,10034
739,9643
740,9863
741,9140
742,8894
743,11637
744,8708
745,9206
746,8602
747,9082
748,8932
749,9279
750,8846
751,9443
752,9006
753,9398
754,8994
755,9176
756,9067
757,9527
758,8974
759,9924
760,9923
761,9034
762,9127
763,9089
764,9285
765,9412
766,10036
767,10089
768,8681
769,9870
770,9352
771,8830
772,9287
773,10131
774,8954
775,10212
776,9370
777,9296
778,10278
779,9225
780,10191
781,9016
782,9715
783,11007
784,11254
785,10172
786,10442
787,10140
788,9717
789,9815
790,9992
791,9054
792,9884
793,10447
794,10157
795,11541
796,9513
797,9597
798,9655
799,9598
800,10148
801,10305
802,9462
803,9578
804,9875
805,9771
806,9260
807,9396
808,9788
809,11435
810,9558
811,10979
812,9270
813,9892
814,10558
815,9796
816,10775
817,9907
818,9823
819,10243
820,9929
821,10032
822,9995
823,9875
824,10075
825,9688
826,10204
827,10479
828,9925
829,10452
830,10454
831,10627
832,10386
833,10193
834,9960
835,9961
836,10970
837,9821
838,9834
839,10490
840,10791
841,11081
842,10941
843,10105
844,10293
845,10368
846,10140
847,10814
848,9757
849,10296
850,11092
851,11032
852,12166
853,10417
854,10798
855,10172
856,10746
857,10209
858,10473
859,10508
860,10665
861,11220
862,11283
863,11581
864,10909
865,11314
866,10698
867,11619
868,10114
869,11455
870,11122
871,10760
872,11354
873,11357
874,11513
875,11316
876,11196
877,10557
878,10629
879,10861
880,11703
881,11262
882,11178
883,11161
884,10749
885,11350
886,12371
887,11749
888,11183
889,10752
890,11516
891,11021
892,11100
893,12016
894,11664
895,10858
896,11849
897,10533
898,10651
899,11362
900,11270
901,10890
902,12232
903,11378
904,10760
905,11767
906,11502
907,11209
908,12726
909,12182
910,11303
911,11615
912,11259
913,10989
914,11375
915,11307
916,11646
917,11942
918,11285
919,12456
920,12752
921,13104
922,11368
923,12443
924,11430
925,11720
926,11018
927,11526
928,11714
929,12525
930,12428
931,11472
932,12308
933,11522
934,11899
935,11407
936,12096
937,11497
938,11985
939,11793
940,11882
941,13260
942,11695
943,11340
944,11905
945,11374
946,12362
947,11866
948,12045
949,12011
950,12075
951,13293
952,11620
953,11745
954,13394
955,12512
956,11814
957,12696
958,13279
959,12660
960,11542
961,12082
962,11855
963,13173
964,12627
965,13329
966,11762
967,12009
968,11575
969,12706
970,11967
971,11911
972,12524
973,11686
974,13441
975,12515
976,12469
977,12221
978,12968
979,13029
980,12431
981,11965
982,14045
983,13063
984,13098
985,12316
986,13505
987,12810
988,12624
989,12085
990,12560
991,13581
992,14404
993,11502
994,13008
995,13992
996,13931
997,13391
998,12389
999,12880
1000,13216
