N,Comparisons
0,0
1,0
2,1
3,5
4,3
5,24
6,28
7,34
8,42
9,83
10,105
11,115
12,120
13,178
14,199
15,240
16,252
17,178
18,242
19,340
20,366
21,389
22,431
23,558
24,591
25,619
26,515
27,651
28,756
29,811
30,957
31,875
32,988
33,1008
34,1120
35,1091
36,1117
37,1206
38,1513
39,1239
40,1467
41,1613
42,1542
43,1574
44,1710
45,2006
46,1945
47,2228
48,2279
49,2315
50,2183
51,2765
52,2729
53,2881
54,2946
55,3033
56,2832
57,2925
58,3198
59,3545
60,3299
61,3678
62,3655
63,3746
64,4389
65,3809
66,4306
67,4350
68,4539
69,4624
70,4592
71,4962
72,4998
73,5178
74,5362
75,5547
76,5371
77,5623
78,5771
79,5875
80,6007
81,6424
82,6601
83,6215
84,7017
85,7175
86,6869
87,7110
88,7589
89,7619
90,8264
91,7878
92,7366
93,8725
94,8329
95,8917
96,9392
97,9204
98,8703
99,9606
100,9983
101,9812
102,10655
103,10474
104,10093
105,10838
106,11383
107,11639
108,11253
109,11951
110,11925
111,11439
112,12428
113,12325
114,12622
115,13553
116,13246
117,13715
118,13312
119,14238
120,14421
121,14670
122,14951
123,13664
124,14021
125,15192
126,15599
127,16023
128,16585
129,16285
130,16804
131,16888
132,17459
133,17083
134,17766
135,17493
136,18629
137,17983
138,17965
139,19581
140,19317
141,19303
142,19851
143,21605
144,19802
145,21237
146,20201
147,21273
148,21442
149,22912
150,21914
151,21807
152,23152
153,22571
154,23404
155,23558
156,24056
157,24454
158,23528
159,25807
160,24455
161,25542
162,26531
163,25416
164,26815
165,26299
166,26973
167,27354
168,27276
169,27467
170,28625
171,28690
172,29427
173,29475
174,31057
175,29732
176,30148
177,31046
178,30760
179,29997
180,30998
181,32299
182,32298
183,34544
184,34185
185,34189
186,33264
187,35434
188,37194
189,34827
190,35555
191,36735
192,36273
193,35521
194,37481
195,38160
196,38489
197,39173
198,38521
199,38568
200,38670
201,39838
202,41912
203,43718
204,40896
205,39342
206,43927
207,42628
208,39954
209,41347
210,41282
211,43057
212,44262
213,43969
214,45633
215,45177
216,47232
217,46914
218,47321
219,47261
220,46880
221,46300
222,49769
223,49836
224,50637
225,51391
226,48278
227,48465
228,49969
229,49264
230,53976
231,54528
232,51269
233,53854
234,53288
235,54092
236,54750
237,54572
238,57139
239,57529
240,57296
241,54941
242,57053
243,56128
244,58973
245,57081
246,58959
247,62454
248,61217
249,61475
250,63957
251,63143
252,63276
253,64507
254,61152
255,65182
256,66978
257,62830
258,67047
259,66732
260,65343
261,67389
262,69532
263,64995
264,68226
265,69415
266,69994
267,69872
268,69768
269,72327
270,72079
271,71611
272,74296
273,74868
274,73236
275,74268
276,74321
277,79320
278,75981
279,76563
280,77689
281,80264
282,80416
283,78842
284,77994
285,79913
286,78257
287,80504
288,81506
289,80852
290,83707
291,82995
292,82160
293,81575
294,84774
295,84514
296,85065
297,87266
298,89623
299,86736
300,86976
301,91233
302,92181
303,91405
304,92878
305,91876
306,93949
307,92804
308,91826
309,92562
310,95459
311,93058
312,98015
313,97745
314,99952
315,96724
316,98983
317,98600
318,98551
319,102233
320,105044
321,103026
322,100512
323,104252
324,103408
325,105830
326,101682
327,105754
328,106289
329,108698
330,109088
331,110060
332,111745
333,113266
334,112003
335,113548
336,110805
337,108666
338,112424
339,109005
340,119853
341,116130
342,113663
343,113977
344,116928
345,119333
346,116621
347,114878
348,120414
349,118503
350,122977
351,122934
352,122071
353,120594
354,124157
355,122921
356,129167
357,123591
358,131458
359,127086
360,125555
361,125963
362,130871
363,130579
364,130452
365,126345
366,128673
367,132356
368,134800
369,134144
370,136913
371,135293
372,132244
373,138469
374,140532
375,137750
376,139598
377,142585
378,142324
379,138341
380,144552
381,143863
382,142802
383,142048
384,148840
385,144011
386,149203
387,146057
388,147446
389,151698
390,149775
391,149077
392,149055
393,156973
394,158125
395,156465
396,157336
397,151462
398,155839
399,159124
400,158834
401,155835
402,160440
403,161133
404,168080
405,165078
406,169360
407,166994
408,160997
409,168814
410,167577
411,163847
412,171279
413,166956
414,168152
415,168664
416,165784
417,172750
418,177370
419,173157
420,174533
421,171297
422,179813
423,181383
424,175050
425,173749
426,179426
427,178110
428,178560
429,182380
430,175957
431,183184
