N,Comparisons
0,0
1,1
2,5
3,10
4,22
5,31
6,39
7,49
8,93
9,110
10,124
11,148
12,163
13,176
14,199
15,213
16,372
17,398
18,424
19,462
20,491
21,523
22,569
23,609
24,645
25,670
26,696
27,740
28,752
29,803
30,828
31,874
32,1446
33,1509
34,1568
35,1629
36,1697
37,1772
38,1823
39,1890
40,1974
41,2009
42,2058
43,2168
44,2230
45,2302
46,2355
47,2430
48,2507
49,2560
50,2616
51,2699
52,2752
53,2813
54,2872
55,2944
56,3011
57,3074
58,3158
59,3224
60,3328
61,3356
62,3434
63,3476
64,5631
65,5739
66,5912
67,6019
68,6166
69,6289
70,6420
71,6549
72,6682
73,6819
74,6955
75,7097
76,7178
77,7348
78,7448
79,7606
80,7744
81,7833
82,7991
83,8113
84,8206
85,8393
86,8523
87,8673
88,8772
89,8900
90,9080
91,9150
92,9292
93,9401
94,9531
95,9701
96,9831
97,9921
98,10084
99,10202
100,10365
101,10447
102,10626
103,10763
104,10884
105,10995
106,11167
107,11270
108,11397
109,11508
110,11713
111,11783
112,11966
113,12022
114,12172
115,12374
116,12471
117,12624
118,12737
119,12862
120,12953
121,13105
122,13248
123,13434
124,13528
125,13605
126,13822
127,13935
128,22314
129,22517
130,22749
131,23077
132,23375
133,23559
134,23811
135,24070
136,24476
137,24643
138,24870
139,25104
140,25443
141,25639
142,25857
143,26130
144,26399
145,26812
146,26993
147,27253
148,27508
149,27730
150,27982
151,28327
152,28457
153,28786
154,29021
155,29402
156,29477
157,29781
158,30100
159,30313
160,30585
161,30829
162,31107
163,31392
164,31653
165,31857
166,32132
167,32365
168,32678
169,32930
170,33122
171,33444
172,33760
173,33943
174,34175
175,34513
176,34757
177,34966
178,35337
179,35482
180,35749
181,36005
182,36250
183,36506
184,36766
185,37090
186,37355
187,37619
188,37815
189,38115
190,38307
191,38621
192,38849
193,39089
194,39372
195,39697
196,39964
197,40194
198,40495
199,40784
200,41060
201,41222
202,41475
203,41859
204,41984
205,42316
206,42519
207,42827
208,43024
209,43369
210,43643
211,43892
212,44022
213,44417
214,44625
215,44871
216,45199
217,45383
218,45579
219,45947
220,46144
221,46500
222,46719
223,46943
224,47211
225,47560
226,47718
227,48005
228,48209
229,48539
230,48812
231,49049
232,49384
233,49572
234,49865
235,50084
236,50306
237,50597
238,50792
239,51245
240,51271
241,51625
242,51830
243,52142
244,52401
245,52731
246,52885
247,53224
248,53417
249,53727
250,54039
251,54238
252,54446
253,54798
254,55009
255,55247
256,88320
257,89047
258,89572
259,90042
260,90524
261,90942
262,91454
263,92078
264,92530
265,92983
266,93660
267,94136
268,94604
269,95067
270,95696
271,96287
272,96635
273,97130
274,97699
275,98240
276,98753
277,99225
278,99682
279,100264
280,100844
281,101328
282,101955
283,102531
284,102769
285,103377
286,103919
287,104320
288,104891
289,105547
290,105893
291,106399
292,106973
293,107464
294,108191
295,108547
296,109101
297,109547
298,109937
299,110601
300,111056
301,111563
302,112287
303,112654
304,113292
305,113593
306,114149
307,114761
308,115203
309,115645
310,116303
311,116682
312,117440
313,117809
314,118269
315,118975
316,119354
317,120066
318,120539
319,121010
320,121744
321,122074
322,122501
323,123029
324,123527
325,124353
326,124607
327,125085
328,125484
329,126091
330,126637
331,127034
332,127628
333,128206
334,128567
335,129326
336,129746
337,130238
338,130726
339,131372
340,131758
341,132294
342,132915
343,133470
344,133810
345,134582
346,134816
347,135286
348,136180
349,136543
350,137001
351,137527
352,138013
353,138394
354,139151
355,139496
356,140054
357,140409
358,140957
359,141598
360,142086
361,142582
362,143316
363,143595
364,144052
365,144718
366,145237
367,145784
368,146110
369,146806
370,147283
371,147902
372,148312
373,148841
374,149573
375,149922
376,150370
377,150915
378,151377
379,151783
380,152356
381,152982
382,153547
383,153821
384,154672
385,155158
386,155543
387,155969
388,156701
389,157077
390,157712
391,158251
392,158756
393,159292
394,159690
395,160287
396,160614
397,161259
398,161830
399,162101
400,162720
401,163310
402,163637
403,164113
404,164731
405,165507
406,165840
407,166350
408,166969
409,167519
410,167934
411,168314
412,168828
413,169622
414,169873
415,170480
416,170972
417,171486
418,172117
419,172582
420,172997
421,173639
422,174263
423,174751
424,175128
425,175851
426,176204
427,176771
428,177382
429,177712
430,178298
431,178663
432,179263
433,179828
434,180244
435,180968
436,181226
437,182138
438,182465
439,182830
440,183405
441,183925
442,184813
443,185166
444,185601
445,185922
446,186573
447,187052
448,187620
449,188143
450,188493
451,189099
452,189504
453,190084
454,190814
455,191135
456,191786
457,192033
458,192866
459,193311
460,193746
461,194442
462,194949
463,195278
464,195948
465,196274
466,196899
467,197329
468,198310
469,198454
470,199111
471,199311
472,199855
473,200535
474,201322
475,201463
476,201950
477,202384
478,203297
479,203758
480,204135
481,204750
482,204989
483,205634
484,206238
485,206713
486,207305
487,207632
488,208257
489,208689
490,209310
491,209782
492,210254
493,211206
494,211335
495,211801
496,212491
497,212779
498,213440
499,213929
500,214452
501,214980
502,215701
503,215931
504,216386
505,216965
506,217791
507,218270
508,218655
509,218963
510,219585
511,220106
512,351861
513,353038
514,354242
515,355120
516,356151
517,357056
518,357933
519,359357
520,359941
521,361071
522,362071
523,363502
524,364233
525,365139
526,366382
527,367284
528,368178
529,369490
530,370395
531,371476
532,372618
533,373463
534,374574
535,375318
536,376543
537,377688
538,378515
539,379769
540,380706
541,381637
542,383269
543,383720
544,384767
545,385769
546,387011
547,388568
548,388968
549,390013
550,390741
551,392195
552,393001
553,394207
554,395014
555,395995
556,397288
557,397868
558,399547
559,400494
560,401212
561,402196
562,403286
563,404358
564,405165
565,406739
566,407517
567,408396
568,409422
569,410767
570,411695
571,412488
572,413635
573,414633
574,415701
575,416693
576,417825
577,418817
578,419702
579,420715
580,421890
581,423071
582,424080
583,424779
584,426132
585,427187
586,428355
587,428978
588,430167
589,431407
590,431920
591,432957
592,434214
593,435236
594,436436
595,437433
596,438251
597,439166
598,440240
599,441233
600,442466
601,443859
602,444632
603,446033
604,446494
605,447670
606,448400
607,449464
608,450621
609,452161
610,453006
611,453775
612,454625
613,455863
614,456601
615,457683
616,458891
617,460116
618,461256
619,461888
620,462831
621,464604
622,465099
623,466144
624,467015
625,467985
626,469095
627,470308
628,471277
629,472148
630,473285
631,474404
632,475579
633,476723
634,477298
635,478362
636,479351
637,480586
638,481615
639,482659
640,483893
641,484425
642,485924
643,486684
644,487638
645,488480
646,489818
647,490958
648,491972
649,492608
650,494096
651,494888
652,496962
653,497067
654,498269
655,498858
656,499916
657,501040
658,502446
659,502873
660,504353
661,505016
662,506371
663,507334
664,507931
665,509149
666,510579
667,511594
668,512444
669,513386
670,514231
671,515457
672,516364
673,517591
674,518679
675,519736
676,520675
677,521399
678,522443
679,524125
680,524579
681,526995
682,526577
683,527641
684,528921
685,529967
686,531068
687,531764
688,533141
689,533856
690,534897
691,535817
692,537109
693,538076
694,539111
695,540052
696,540921
697,542139
698,543694
699,544374
700,545241
701,546368
702,547452
703,548180
704,549267
705,550611
706,551321
707,552470
708,553704
709,554563
710,555685
711,556557
712,557416
713,558740
714,559494
715,560628
716,561711
717,563012
718,563954
719,564773
720,566446
721,566732
722,567818
723,569300
724,570112
725,570945
726,572097
727,573159
728,574211
729,575149
730,576213
731,577153
732,577937
733,579284
734,580099
735,581108
736,582157
737,583437
738,584167
739,585606
740,586418
741,587482
742,588669
743,589921
744,590408
745,591436
746,592451
747,593535
748,594591
749,595977
750,597118
751,597950
752,598507
753,599825
754,600621
755,601932
756,603223
757,603624
758,605030
759,606574
760,606817
761,607803
762,609226
763,610397
764,611367
765,612453
766,613465
767,614256
768,615321
769,616223
770,617365
771,618401
772,619664
773,620445
774,621910
775,622827
776,623129
777,624629
778,625603
779,626882
780,627478
781,628779
782,629812
783,630645
784,631770
785,633355
786,634533
787,635046
788,636128
789,636623
790,638125
791,639107
792,639756
793,641299
794,642104
795,643086
796,644145
797,644970
798,646080
799,647364
800,648075
801,649500
802,650234
803,651634
804,652326
805,653300
806,654772
807,655682
808,656525
809,657784
810,658756
811,659140
812,660400
813,661342
814,662562
815,664285
816,664960
817,665323
818,666871
819,667568
820,668856
821,669983
822,671025
823,671659
824,672789
825,673648
826,674964
827,676598
828,676839
829,677876
830,679597
831,680002
832,681598
833,682322
834,683357
835,684106
836,685789
837,686369
838,687448
839,688362
840,689473
841,690332
842,691241
843,692301
844,693553
845,694711
846,696164
847,696623
848,697560
849,698653
850,699488
851,700686
852,701725
853,702629
854,703763
855,704902
856,705923
857,707438
858,707899
859,709484
860,709743
861,711452
862,712028
863,713175
864,714026
865,714762
866,716168
